"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"19-May-2021","-","-","-","     6618.82","      141361822","         3904.31"
"20-May-2021","-","-","-","     6547.07","      125087483","         3435.59"
"21-May-2021","-","-","-","     6591.00","      143845812","         4664.84"
"24-May-2021","-","-","-","     6652.18","      161821790","         3905.21"
"25-May-2021","-","-","-","     6644.01","      141363440","         4487.36"
"26-May-2021","-","-","-","     6655.16","       90256049","         2728.79"
"27-May-2021","-","-","-","     6664.18","      203836132","        11259.43"
"28-May-2021","-","-","-","     6776.45","      124438313","         7526.13"
"31-May-2021","-","-","-","     6887.25","      139169007","         8280.95"
"01-Jun-2021","-","-","-","     6970.51","      118696378","         4902.78"
"02-Jun-2021","-","-","-","     7097.99","      117553462","         5510.63"
"03-Jun-2021","-","-","-","     7184.12","      136024527","         5083.18"
"04-Jun-2021","-","-","-","     7241.06","      188236451","         5197.16"
"07-Jun-2021","-","-","-","     7324.21","      127746730","         4327.38"
"08-Jun-2021","-","-","-","     7326.68","       88875833","         2989.86"
"09-Jun-2021","-","-","-","     7196.14","      155714775","         4492.03"
"10-Jun-2021","-","-","-","     7224.30","       89257107","         3316.93"
"11-Jun-2021","-","-","-","     7263.51","       91337116","         3405.10"
"14-Jun-2021","-","-","-","     7259.82","       76721168","         3451.58"
"15-Jun-2021","-","-","-","     7267.20","      104929050","         4241.49"
"16-Jun-2021","-","-","-","     7191.50","       93950013","         3091.25"
"17-Jun-2021","-","-","-","     7147.06","       75570868","         3449.93"
"18-Jun-2021","-","-","-","     7034.49","      169481376","         5889.53"
"21-Jun-2021","-","-","-","     7104.97","       76591133","         2935.05"
"22-Jun-2021","-","-","-","     7140.79","       75915532","         3059.83"
"23-Jun-2021","-","-","-","     7061.59","       62360027","         2921.03"
"24-Jun-2021","-","-","-","     6942.51","      100733861","        10385.49"
"25-Jun-2021","-","-","-","     6861.79","       91966999","         6773.53"
"28-Jun-2021","-","-","-","     6842.34","       72338528","         3694.77"
"29-Jun-2021","-","-","-","     6776.38","       85710364","         4393.75"
"30-Jun-2021","-","-","-","     6762.85","       68954941","         3190.63"
"01-Jul-2021","-","-","-","     6748.14","       60549987","         2460.28"
"02-Jul-2021","-","-","-","     6753.34","       64654951","         2578.90"
"05-Jul-2021","-","-","-","     6782.27","       50591489","         2246.01"
"06-Jul-2021","-","-","-","     6768.62","       76933077","         2533.36"
"07-Jul-2021","-","-","-","     6733.44","       56986603","         2172.54"
"08-Jul-2021","-","-","-","     6703.64","       70098866","         2802.76"
"09-Jul-2021","-","-","-","     6671.96","       43898440","         1749.27"
"12-Jul-2021","-","-","-","     6665.06","       45394828","         1786.30"
"13-Jul-2021","-","-","-","     6711.33","       48482597","         1616.43"
"14-Jul-2021","-","-","-","     6656.91","       44544730","         1763.01"
"15-Jul-2021","-","-","-","     6606.80","       66286170","         2013.35"
"16-Jul-2021","-","-","-","     6644.87","       57082362","         1835.17"
"19-Jul-2021","-","-","-","     6603.26","       65674429","         2139.34"
"20-Jul-2021","-","-","-","     6558.84","       67740037","         2245.62"
"22-Jul-2021","-","-","-","     6655.42","       58917813","         2082.75"
"23-Jul-2021","-","-","-","     6650.22","       46039773","         2167.24"
"26-Jul-2021","-","-","-","     6605.37","       48755893","         2302.70"
"27-Jul-2021","-","-","-","     6563.47","       50876341","         2214.75"
"28-Jul-2021","-","-","-","     6534.70","       50215625","         2186.08"
"29-Jul-2021","-","-","-","     6546.75","       57876679","         2576.71"
